Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
CH Gayle,6,206,295,6,34.33,69.83,119,22,2,1,1
WW Hinds,6,108,134,6,18,80.6,64,16,3,1,0
BC Lara,6,248,306,6,41.33,81.05,116,25,7,1,1
S Chanderpaul,5,196,282,5,39.2,69.5,66,19,2,2,0
CL Hooper,6,99,124,5,19.8,79.84,45,3,1,0,0
RL Powell,5,113,72,4,28.25,156.94,50,10,6,1,0
RR Sarwan,5,209,218,2,104.5,95.87,75,23,4,1,0
HH Gibbs,6,384,381,4,96,100.79,143,52,10,2,1
G Kirsten,6,186,217,3,62,85.71,69,24,2,3,0
HH Dippenaar,3,108,158,3,36,68.35,80,9,1,1,0
JH Kallis,4,63,89,4,15.75,70.79,33,4,1,0,0
JN Rhodes,1,2,6,1,2,33.33,2,0,0,0,0
MV Boucher,4,125,149,3,41.67,83.89,49,8,2,0,0
SM Pollock,4,71,74,4,17.75,95.95,32,1,2,0,0
L Klusener,3,91,77,1,91,118.18,57,5,6,1,0
N Boje,2,54,62,1,54,87.1,29,6,0,0,0
M Ntini,2,14,8,2,7,175,14,1,1,0,0
CB Wishart,7,293,343,6,48.83,85.42,172,33,3,0,1
MA Vermeulen,3,66,133,3,22,49.62,39,11,0,0,0
A Flower,7,332,459,7,47.43,72.33,71,30,1,3,0
GW Flower,6,177,225,5,35.4,78.67,78,14,2,1,0
R Walters,2,0,5,2,0,0,0,0,0,0,0
AJ Burger,6,199,198,6,33.17,100.51,85,25,3,1,0
SJ Swanepoel,5,43,95,5,8.6,45.26,23,4,0,0,0
D Keulder,6,132,219,6,22,60.27,52,11,0,1,0
GB Murgatroyd,6,90,145,6,15,62.07,52,7,1,1,0
LJ Burger,6,11,62,5,2.2,17.74,5,1,0,0,0
DB Kotze,6,82,135,5,16.4,60.74,27,3,1,0,0
MS Atapattu,10,382,452,7,54.57,84.51,124,50,0,1,2
ST Jayasuriya,10,321,420,8,40.12,76.43,120,31,2,2,1
HP Tillakaratne,6,178,305,5,35.6,58.36,81,18,0,1,0
DPMD Jayawardene,7,21,58,7,3,36.21,9,2,0,0,0
PA de Silva,8,267,299,8,33.38,89.3,92,27,7,2,0
KC Sangakkara,9,176,239,7,25.14,73.64,39,16,0,0,0
RP Arnold,8,92,170,6,15.33,54.12,34,3,0,0,0
WPUJC Vaas,8,102,161,5,20.4,63.35,28,8,1,0,0
M Muralitharan,5,38,49,4,9.5,77.55,16,5,0,0,0
SP Fleming,8,321,374,7,45.86,85.83,134,51,2,0,1
NJ Astle,7,213,266,5,42.6,80.08,102,23,0,1,1
CD McMillan,6,125,158,6,20.83,79.11,75,14,3,1,0
SB Styris,7,268,263,5,53.6,101.9,141,12,9,1,1
CL Cairns,7,223,273,6,37.17,81.68,54,15,6,1,0
L Vincent,3,17,35,3,5.67,48.57,9,2,0,0,0
CZ Harris,6,116,170,3,38.67,68.24,38,10,0,0,0
JDP Oram,3,35,75,3,11.67,46.67,23,1,0,0,0
AR Adams,5,90,76,4,22.5,118.42,36,6,6,0,0
DR Tuffey,2,15,16,2,7.5,93.75,11,2,0,0,0
SE Bond,3,5,21,1,5,23.81,3,0,0,0,0
AC Gilchrist,10,408,387,10,40.8,105.43,99,56,7,4,0
ML Hayden,11,328,410,10,32.8,80,88,37,5,1,0
RT Ponting,10,415,472,8,51.88,87.92,140,29,13,1,2
DR Martyn,8,323,395,5,64.6,81.77,88,21,2,4,0
JP Maher,2,35,60,2,17.5,58.33,26,5,0,0,0
A Symonds,5,326,360,2,163,90.56,143,32,6,2,1
GB Hogg,6,42,62,5,8.4,67.74,19,3,0,0,0
IJ Harvey,5,66,86,3,22,76.74,28,9,0,0,0
