Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
EJG Morgan,5,90,139,5,18,64.75,46,7,3,0,0
JWA Taylor,6,149,168,4,37.25,88.69,98,12,3,1,0
JC Buttler,5,141,104,4,35.25,135.58,65,17,2,1,0
CR Woakes,5,90,94,3,30,95.74,42,6,0,0,0
SCJ Broad,4,13,20,3,4.33,65,9,0,1,0,0
ST Finn,3,2,15,2,1,13.33,1,0,0,0,0
JM Anderson,3,9,15,2,4.5,60,8,1,0,0,0
Q de Kock,8,145,175,7,20.71,82.86,78,21,0,1,0
HM Amla,8,333,350,8,41.62,95.14,159,35,5,1,1
F du Plessis,7,380,449,6,63.33,84.63,109,28,4,3,1
AB de Villiers,7,482,334,5,96.4,144.31,162,43,21,3,1
DA Miller,7,324,233,5,64.8,139.06,138,21,14,0,1
JP Duminy,5,164,160,3,54.67,102.5,115,13,3,0,1
CJ Chibhabha,4,98,148,4,24.5,66.22,64,16,0,1,0
Sikandar Raza,6,125,126,6,20.83,99.21,46,15,4,0,0
H Masakadza,6,122,161,6,20.33,75.78,80,12,2,1,0
BRM Taylor,6,433,405,6,72.17,106.91,138,43,12,1,2
SC Williams,6,339,311,5,67.8,109,96,30,6,4,0
CR Ervine,6,159,180,6,26.5,88.33,52,12,5,1,0
E Chigumbura,4,78,77,3,26,101.3,35,7,2,0,0
SF Mire,5,64,104,5,12.8,61.54,27,4,2,0,0
T Panyangara,5,29,51,5,5.8,56.86,10,2,0,0,0
TL Chatara,4,23,35,3,7.67,65.71,16,2,0,0,0
RG Sharma,8,330,360,7,47.14,91.67,137,33,9,2,1
S Dhawan,8,412,449,8,51.5,91.76,137,48,9,1,2
V Kohli,8,305,374,6,50.83,81.55,107,29,1,0,1
SK Raina,6,284,258,5,56.8,110.08,110,25,8,2,1
MS Dhoni,6,237,232,4,59.25,102.16,85,18,6,2,0
RA Jadeja,5,57,59,4,14.25,96.61,23,8,0,0,0
AM Rahane,7,208,252,6,34.67,82.54,79,21,3,1,0
Mohammed Shami,3,8,9,0,0,88.89,4,1,0,0,0
R Ashwin,5,30,54,1,30,55.56,16,0,0,0,0
Ahmed Shehzad,7,227,313,7,32.43,72.52,93,24,1,2,0
Younis Khan,3,43,55,3,14.33,78.18,37,5,0,0,0
Haris Sohail,6,177,245,6,29.5,72.24,70,15,1,1,0
Misbah-ul-Haq,7,350,466,7,50,75.11,76,25,7,4,0
Sohaib Maqsood,6,153,176,6,25.5,86.93,50,12,3,1,0
Umar Akmal,7,164,204,6,27.33,80.39,59,17,2,1,0
Shahid Afridi,6,116,87,5,23.2,133.33,28,10,6,0,0
Wahab Riaz,6,83,85,4,20.75,97.65,54,9,2,1,0
Yasir Shah,1,13,23,1,13,56.52,13,1,0,0,0
Sohail Khan,5,21,42,4,5.25,50,7,1,0,0,0
Mohammad Irfan,3,4,19,0,0,21.05,2,0,0,0,0
DR Smith,6,93,116,6,15.5,80.17,31,13,2,0,0
CH Gayle,6,340,290,6,56.67,117.24,215,17,26,1,1
MN Samuels,7,230,298,6,38.33,77.18,133,20,5,0,1
LMP Simmons,5,173,171,5,34.6,101.17,102,14,8,1,1
D Ramdin,6,107,151,5,21.4,70.86,51,11,0,1,0
DJG Sammy,5,177,177,5,35.4,100,89,17,6,1,0
AD Russell,6,104,56,4,26,185.71,42,7,9,0,0
WTS Porterfield,6,275,409,6,45.83,67.24,107,22,3,1,1
PR Stirling,6,159,159,6,26.5,100,92,17,5,1,0
EC Joyce,6,246,250,6,41,98.4,112,23,5,1,1
NJ O'Brien,6,199,182,5,39.8,109.34,79,23,3,2,0
A Balbirnie,6,236,260,6,39.33,90.77,97,20,4,2,0
GC Wilson,6,141,136,6,23.5,103.68,80,16,1,1,0
KJ O'Brien,6,131,131,6,21.83,100,50,16,3,1,0
JF Mooney,6,51,65,4,12.75,78.46,13,5,0,0,0
KJ Coetzer,6,253,282,6,42.17,89.72,156,33,4,1,1
CS MacLeod,6,48,63,6,8,76.19,22,8,0,0,0
HJW Gardiner,3,24,53,3,8,45.28,19,3,0,0,0
MW Machan,6,186,230,6,31,80.87,56,21,2,1,0
PL Mommsen,6,148,194,6,24.67,76.29,60,16,1,1,0
RD Berrington,6,139,183,6,23.17,75.96,50,9,5,1,0
MH Cross,6,88,120,6,14.67,73.33,23,7,1,0,0
JH Davey,6,55,88,4,13.75,62.5,26,5,0,0,0
RML Taylor,3,7,18,3,2.33,38.89,4,0,0,0,0
RM Haq,4,47,80,4,11.75,58.75,31,6,0,0,0
I Wardlaw,3,1,5,2,0.5,20,1,0,0,0,0
DL Vettori,6,50,46,2,25,108.7,16,6,1,0,0
AF Milne,2,1,5,1,1,20,1,0,0,0,0
Anamul Haque,2,58,98,2,29,59.18,29,5,1,0,0
Tamim Iqbal,6,154,203,6,25.67,75.86,95,17,1,1,0
Soumya Sarkar,6,175,198,6,29.17,88.38,51,23,3,1,0
Mahmudullah,6,365,446,5,73,81.84,128,30,6,1,2
Shakib Al Hasan,6,196,209,5,39.2,93.78,63,18,3,2,0
Mushfiqur Rahim,6,298,282,6,49.67,105.67,89,26,5,3,0
Sabbir Rahman,6,182,185,5,36.4,98.38,53,18,5,1,0
Mashrafe Mortaza,4,28,23,3,9.33,121.74,14,5,0,0,0
Mominul Haque,2,4,6,2,2,66.67,3,0,0,0,0
Taskin Ahmed,2,1,4,2,0.5,25,1,0,0,0,0
Rubel Hossain,3,0,10,1,0,0,0,0,0,0,0
Javed Ahmadi,6,97,122,6,16.17,79.51,51,13,0,1,0
Afsar Zazai,6,36,99,6,6,36.36,19,1,0,0,0
Asghar Afghan,5,72,95,5,14.4,75.79,54,8,1,1,0
Nawroz Mangal,6,108,209,6,18,51.67,33,7,2,0,0
Samiullah Shinwari,6,254,444,6,42.33,57.21,96,22,6,2,0
Mohammad Nabi,6,90,115,6,15,78.26,44,8,2,0,0
Najibullah Zadran,6,123,156,5,24.6,78.85,56,13,4,1,0
Aftab Alam,1,14,12,1,14,116.67,14,2,1,0,0
Mirwais Ashraf,2,38,47,2,19,80.85,28,1,3,0,0
Hamid Hassan,6,38,86,4,9.5,44.19,16,5,0,0,0
Shapoor Zadran,5,17,21,0,0,80.95,12,2,0,0,0
Amjad Ali,6,96,185,6,16,51.89,45,11,0,0,0
AR Berenger,6,53,111,6,8.83,47.75,22,7,0,0,0
Krishna Chandran,5,38,111,5,7.6,34.23,34,3,0,0,0
Khurram Khan,6,155,212,6,25.83,73.11,45,15,1,0,0
SP Patil,6,140,253,5,28,55.34,57,12,0,1,0
Shaiman Anwar,6,311,340,6,51.83,91.47,106,34,4,2,1
Rohan Mustafa,4,8,29,4,2,27.59,4,0,0,0,0
Amjad Javed,6,170,195,5,34,87.18,56,21,4,1,0
Mohammad Naveed,5,73,59,4,18.25,123.73,23,6,5,0,0
RW Chakabva,4,64,96,4,16,66.67,35,5,0,0,0
DM Bravo,1,49,78,1,49,62.82,49,3,0,0,0
Nasir Jamshed,3,5,23,3,1.67,21.74,4,0,0,0,0
Dawlat Zadran,4,14,39,4,3.5,35.9,9,2,0,0,0
NLTC Perera,4,62,43,3,20.67,144.19,47,8,1,0,0
WD Parnell,1,17,28,0,0,60.71,17,1,0,0,0
VD Philander,2,10,8,1,10,125,10,1,0,0,0
DW Steyn,2,17,24,2,8.5,70.83,16,3,0,0,0
M Morkel,2,8,13,1,8,61.54,6,1,0,0,0
Imran Tahir,2,8,16,2,4,50,8,1,0,0,0
FRJ Coleman,3,77,97,3,25.67,79.38,70,7,0,1,0
AC Evans,3,38,57,2,19,66.67,28,5,0,0,0
S Matsikenyeri,1,19,23,1,19,82.61,19,2,0,0,0
TP Kamungozi,1,6,9,0,0,66.67,6,1,0,0,0
Mohammad Tauqir,5,8,43,3,2.67,18.6,3,0,0,0,0
GH Dockrell,5,54,85,3,18,63.53,25,2,3,0,0
AR Cusack,4,19,23,1,19,82.61,11,1,0,0,0
Gulbadin Naib,1,0,1,1,0,0,0,0,0,0,0
RR Rossouw,5,210,180,4,52.5,116.67,61,23,5,2,0
F Behardien,2,74,36,0,0,205.56,64,5,4,1,0
JL Carter,4,113,160,3,37.67,70.62,50,13,1,1,0
JO Holder,3,155,138,3,51.67,112.32,57,12,9,2,0
JE Taylor,3,37,48,2,18.5,77.08,15,5,0,0,0
SJ Benn,2,10,7,1,10,142.86,9,2,0,0,0
MJ Clarke,6,219,228,6,36.5,96.05,74,25,3,2,0
MA Starc,1,0,3,2,0,0,0,0,0,0,0
PJ Cummins,1,7,30,0,0,23.33,7,1,0,0,0
TG Southee,3,23,18,2,11.5,127.78,12,1,2,0,0
TA Boult,2,0,3,0,0,0,0,0,0,0,0
AM Guruge,2,14,26,0,0,53.85,10,1,0,0,0
T Mupariwa,3,19,11,2,9.5,172.73,18,2,1,0,0
MC Sorensen,1,22,19,1,22,115.79,22,3,1,0,0
AR McBrine,1,2,4,0,0,50,2,0,0,0,0
JP Faulkner,4,44,25,3,14.67,176,21,6,2,0,0
Usman Ghani,2,12,22,2,6,54.55,12,0,0,0,0
KAJ Roach,1,0,1,0,0,0,0,0,0,0,0
Sarfaraz Ahmed,3,160,189,2,80,84.66,101,12,3,0,1
Rahat Ali,2,7,27,1,7,25.93,6,0,0,0,0
KJ Abbott,1,12,19,1,12,63.16,12,2,0,0,0
XJ Doherty,1,0,1,0,0,0,0,0,0,0,0
LD Chandimal,1,52,24,0,0,216.67,52,8,1,1,0
WU Tharanga,1,4,5,1,4,80,4,0,0,0,0
S Prasanna,2,12,16,2,6,75,9,1,0,0,0
SMSM Senanayake,1,7,8,1,7,87.5,7,1,0,0,0
Imrul Kayes,3,9,35,3,3,25.71,5,0,0,0,0
Arafat Sunny,1,3,3,0,0,100,3,0,0,0,0
AD Hales,2,64,67,2,32,95.52,37,7,2,0,0
CJ Jordan,1,0,1,1,0,0,0,0,0,0,0
SR Thompson,2,14,17,2,7,82.35,12,1,0,0,0
MDKJ Perera,2,27,23,2,13.5,117.39,24,2,2,0,0
PVD Chameera,2,14,14,0,0,100,12,1,0,0,0
MA Leask,2,25,18,1,25,138.89,23,4,0,0,0
Saqlain Haider,1,7,12,1,7,58.33,7,1,0,0,0
Kamran Shazad,1,0,3,1,0,0,0,0,0,0,0
Nasir Hossain,2,46,41,2,23,112.2,35,6,1,0,0
Nasir Jamal,1,17,52,1,17,32.69,17,2,0,0,0
Shafiqullah,1,30,64,1,30,46.88,30,1,0,0,0
Nasir Aziz,1,60,86,1,60,69.77,60,8,0,1,0
J Charles,2,58,46,2,29,126.09,55,9,2,1,0
PHT Kaushal,1,0,1,1,0,0,0,0,0,0,0
Ehsan Adil,1,15,22,1,15,68.18,15,1,0,0,0
MM Sharma,1,0,1,1,0,0,0,0,0,0,0
UT Yadav,1,0,5,1,0,0,0,0,0,0,0
MJ Henry,1,0,7,1,0,0,0,0,0,0,0
